SQ1,SQ2,SQ3,SQ4,SQ5,SQ6,SQ7,SQ8,SQ9,SQ10,SQ11,SQ12,SQ13,SQ14,SQ15,SQ16,SQ17,SQ18,SQ19,SQ20,SQ21,SQ22,SQ23,SQ24,SQ25,SQ26,SQ27,SQ28,SQ29,SQ30,SQ31,SQ32,SQ33,SQ34,SQ35,SQ36,SQ37,SQ38,SQ39,SQ40,SQ41,SQ42,SQ43,SQ44,SQ45,SQ46,SQ47,SQ48,SQ49,SQ50,SQ51,SQ52,SQ53,SQ54,SQ55,SQ56,SQ57,SQ58,SQ59,SQ60,SQ61,SQ62,SQ63,SQ64,SQ65,SQ66,SQ67,SQ68
LinkedIn Digital Ads,2022-08-01 21:02:36 UTC,Woman,Asian or Pacific Islander,60622 (Chicago),,60622,,Work full-time,None of the above,4-year University or College degree (Bachelor’s degree or equivalent),No,Software Developer,,,"A year from now, I plan to stay in this role",,,,,,,"Representation of people in my gender, Advancement in your role, Inclusion at your workplace",Mid-career - 11-20 years,Neutral / Neither agree nor disagree,Every 2 years,No,No,Agree,Agree,Agree,Agree,Neutral / Neither agree nor disagree,Agree,Switching from one company to another,Yes,41-50,Neutral / Neither agree nor disagree,Diverse options for PPO plans,We have a hybrid work environment e.g. a mix between in-person and remote.,May be,,,,,,,,,,,,,,,,,,Yes,LinkedIn,five,62e83f6c11d26854bd2e72bc,,,,,,mobile
LinkedIn Digital Ads,2022-08-02 02:38:51 UTC,Woman,White or Caucasian,60622 (Chicago),,60622,,Work freelance/Independent contractor/Consultant,I am a caretaker of adults.,4-year University or College degree (Bachelor’s degree or equivalent),No,Product Manager,,,I plan to exit this role in 12 months or less,,,,,,,"Advancement in your role, Inclusion at your workplace, Management support, Compensation, Representation of people in my gender",Intermediate level - 5-10 years,Neutral / Neither agree nor disagree,Every 3 years,No,No,Neutral / Neither agree nor disagree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Switching from one company to another,I don't know.,51-60,Neutral / Neither agree nor disagree,"Comprehensive plan options spanning vision, dental, and overall healthcare, Spousal coverage, Fertility",We have a hybrid work environment e.g. a mix between in-person and remote.,Yes,,,,,,,,,,,,,,,,,,Yes,LinkedIn,five,62e88e3b10d03c7a9a220939,,,,,,mobile
LinkedIn Digital Ads,2022-08-02 04:46:09 UTC,Woman,Asian or Pacific Islander,60657 (Chicago),,60657,,Work full-time,None of the above,4-year University or College degree (Bachelor’s degree or equivalent),No,Product Designer,,,"A year from now, I plan to stay in this role",,,,,,,"Compensation, Advancement in your role, Flexible work schedule",Entry-level - 1-3 years,Disagree,I have not been promoted.,No,Yes,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,A raise,No,31-40,Neutral / Neither agree nor disagree,"Comprehensive plan options spanning vision, dental, and overall healthcare, Low Copays and prescription costs, Spousal coverage",We have a hybrid work environment e.g. a mix between in-person and remote.,Yes,,,,,,,,,,,,,,,,,,No,LinkedIn,five,62e8ac1172aee22a6870054e,,,,,,desktop
LinkedIn Digital Ads,2022-08-02 14:21:26 UTC,Woman,White or Caucasian,60532 (Lisle),,60532,,Work full-time,I am a parent or caretaker of children.,"4-year University or College degree (Bachelor’s degree or equivalent), Vocational training / Certificate program",No,Product Manager,,,"A year from now, I plan to stay in this role",,,,,,,"Inclusion at your workplace, Management support, Compensation, Advancement in your role",Senior-level - 20+ years,Agree,I have not been promoted.,Yes,Yes,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Neutral / Neither agree nor disagree,Switching from one company to another,I don't know.,41-50,Agree,"Low Copays and prescription costs, Dependent coverage, Spousal coverage",We all work remotely.,Yes,,,,,,,,,,,,,,,,,,No,LinkedIn,five,62e932e66241cf7b5d521f26,,,,,,mobile
LinkedIn Digital Ads,2022-08-02 14:47:23 UTC,Woman,Asian or Pacific Islander,60607 (Chicago),,60607,,Work full-time,I am a parent or caretaker of children.,4-year University or College degree (Bachelor’s degree or equivalent),No,Senior Product Designer,,,"A year from now, I plan to stay in this role",,,,,,,"Advancement in your role, Inclusion at your workplace, Management support, Compensation",Mid-career - 11-20 years,Neutral / Neither agree nor disagree,Every 3 years,No,No,Agree,Disagree,Neutral / Neither agree nor disagree,Agree,Neutral / Neither agree nor disagree,Neutral / Neither agree nor disagree,Switching from one company to another,I don't know.,41-50,Neutral / Neither agree nor disagree,"Comprehensive plan options spanning vision, dental, and overall healthcare",We have a hybrid work environment e.g. a mix between in-person and remote.,Yes,,,,,,,,,,,,,,,,,,Yes,LinkedIn,five,62e938fb08bb660b407d8f4a,,,,,,desktop
LinkedIn Digital Ads,2022-08-02 14:50:27 UTC,Woman,White or Caucasian,60527 (Burr Ridge),,60527,,Work full-time,"I am a parent or caretaker of children., I am a caretaker of adults.","4-year University or College degree (Bachelor’s degree or equivalent), Self-taught, Taught on the job",No,Software Developer,,,"A year from now, I plan to stay in this role",,,,,,,"Compensation, Advancement in your role",Senior-level - 20+ years,Agree,Every 4 years or more,No,Yes,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,A bonus,No,51-60,Disagree,"Comprehensive plan options spanning vision, dental, and overall healthcare, Family coverage and options, like an HSA with a high deductible where everything is then covered 100%",We all work remotely.,Yes,,,,,,,,,,,,,,,,,,No,LinkedIn,five,62e939b3f3ab95022d572bfb,,,,,,desktop
LinkedIn Digital Ads,2022-08-03 03:21:01 UTC,Woman,Hispanic or Latino,60641 (Chicago),,60641,,Work full-time,None of the above,"High school or below, 4-year University or College degree (Bachelor’s degree or equivalent)",No,Software Developer,,,"A year from now, I plan to stay in this role",,,,,,,"Advancement in your role, Inclusion at your workplace, Management support, Compensation, Representation of people in my race, Representation of people in my gender",Entry-level - 1-3 years,Strongly Agree,I have not been promoted.,Yes,Yes,Agree,Agree,Agree,Agree,Agree,Agree,"Currently an intern, an increase would come in next internship",I don't know.,44885,Agree,"Having 100% of my plan covered by my employer each month, Comprehensive plan options spanning vision, dental, and overall healthcare, That I have insurance at all",We have a hybrid work environment e.g. a mix between in-person and remote.,"Maybe, would only leave if I had another job offer ready that did offer work remotely.",,,,,,,,,,,,,,,,,,No,LinkedIn,five,62e9e99da5c2d7163a50cd3b,,,,,,desktop
LinkedIn Digital Ads,2022-08-03 04:05:57 UTC,Woman,White or Caucasian,60516 (Downers Grove),,60516,,Work part-time,I am a parent or caretaker of children.,"4-year University or College degree (Bachelor’s degree or equivalent), Post-graduate degree (Master’s degree or equivalent), Vocational training / Certificate program, 2-year college degree (Associate degree)",No,Other,Yes,,"A year from now, I plan to stay in this role",,,,,,,Compensation,Senior-level - 20+ years,Disagree,I have not been promoted.,Yes,No,Neutral / Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Neutral / Neither agree nor disagree,"Union contract, annual % increase, not based on performance but length of years in service.",No,31-40,Strongly Disagree,"Having 100% of my plan covered by my employer each month, That I have insurance at all, Low Copays and prescription costs",We have a hybrid work environment e.g. a mix between in-person and remote.,No,,,,,,,,,,,,,,,,,,Yes,LinkedIn,five,62e9f425f0c40ee75c0db181,,,,,,desktop
LinkedIn Digital Ads,2022-08-03 15:05:27 UTC,Woman,White or Caucasian,60626 (Chicago),,60626,,Work full-time,I am a caretaker of adults.,"Advanced post-graduate degree (e.g., Ph.D., law degree, medical degree)",No,Database Architect,,,"A year from now, I plan to stay in this role",,,,,,,"Compensation, Advancement in your role, Challenging tasks ahrad",Senior-level - 20+ years,Agree,I have not been promoted.,Yes,Yes,Agree,Neutral / Neither agree nor disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Switching from one company to another,No,31-40,Agree,Diverse options for PPO plans,We have a hybrid work environment e.g. a mix between in-person and remote.,Yes,,,,,,,,,,,,,,,,,,Yes,LinkedIn,five,62ea8eb73e53600b9d02629c,,,,,,desktop
LinkedIn Digital Ads,2022-08-03 19:23:44 UTC,Woman,White or Caucasian,60025 (Glenview),,60025,,Work full-time,None of the above,"4-year University or College degree (Bachelor’s degree or equivalent), Academy or Bootcamp, Taught on the job",No,Computer & Information Systems Manager,,,"A year from now, I plan to stay in this role",,,,,,,"Second career, close to home and non profit aligned with my values",Senior-level - 20+ years,Neutral / Neither agree nor disagree,I have not been promoted.,Yes,Yes,Agree,Neutral / Neither agree nor disagree,Agree,Strongly Agree,Disagree,Neutral / Neither agree nor disagree,cost of living,No,31-40,Neutral / Neither agree nor disagree,"Comprehensive plan options spanning vision, dental, and overall healthcare",We have a hybrid work environment e.g. a mix between in-person and remote.,No,,,,,,,,,,,,,,,,,,Yes,LinkedIn,five,62eacb4053e8ce1a7f05889e,,,,,,desktop
LinkedIn Digital Ads,2022-08-04 00:38:55 UTC,Woman,Black or African American,60616 (Chicago),,60616,,Work full-time,None of the above,"Advanced post-graduate degree (e.g., Ph.D., law degree, medical degree)",No,Other,No,Yes,,,,,This was an active move to try to exit technology,I always intended to attend law school after studying engineering.,Nothing,,,,,,,,,,,,,,,,,,,,Intermediate level - 5-10 years,Disagree,Every 2 years,No,,Agree,Strongly Disagree,Disagree,Agree,Agree,Agree,I don't know.,41-50,Agree,"Comprehensive plan options spanning vision, dental, and overall healthcare, Dependent coverage, Coverage for people living with disabilities",We all worked in-person.,No,No,LinkedIn,five,62eb151e582d6fdf3e0be60c,,,,,,mobile
LinkedIn Digital Ads,2022-08-04 22:19:46 UTC,Woman,Black or African American,60615 (Chicago),,60615,,Work freelance/Independent contractor/Consultant,None of the above,"4-year University or College degree (Bachelor’s degree or equivalent), Academy or Bootcamp",No,User Experience Designer,,,I plan to exit this role in 12 months or less,,,,,,,"Advancement in your role, Inclusion at your workplace, Representation of people in my race, I may want to work in other types of design projects",Entry-level - 1-3 years,Disagree,I have not been promoted.,Yes,Yes,Neutral / Neither agree nor disagree,Strongly Disagree,Disagree,Agree,Agree,Neutral / Neither agree nor disagree,Switching from one company to another,No,41-50,Disagree,"Comprehensive plan options spanning vision, dental, and overall healthcare, Low deductibles, Low Copays and prescription costs",We all work remotely.,Yes,,,,,,,,,,,,,,,,,,No,LinkedIn,five,62ec4602b774d5bf750ca873,,,,,,desktop
LinkedIn Digital Ads,2022-08-05 00:55:44 UTC,Woman,Asian or Pacific Islander,60605 (Chicago),,60605,,Work full-time,None of the above,4-year University or College degree (Bachelor’s degree or equivalent),No,Product Manager,,,"A year from now, I plan to stay in this role",,,,,,,"Advancement in your role, Compensation",Intermediate level - 5-10 years,Agree,I have not been promoted.,Yes,No,Disagree,Disagree,Neutral / Neither agree nor disagree,Strongly Agree,Agree,Agree,A raise,No,41-50,Agree,"That I have insurance at all, Comprehensive plan options spanning vision, dental, and overall healthcare, Diverse options for PPO plans",We all work remotely.,I dont know,,,,,,,,,,,,,,,,,,No,LinkedIn,five,62ec6a905baa6a8a85016abb,,,,,,mobile
LinkedIn Digital Ads,2022-08-05 12:42:19 UTC,Woman,White or Caucasian,60048 (Libertyville),,60048,,Work freelance/Independent contractor/Consultant,None of the above,"Advanced post-graduate degree (e.g., Ph.D., law degree, medical degree), 4-year University or College degree (Bachelor’s degree or equivalent), High school or below, Taught on the job",No,Other,No,Yes,,,,,This was an active move to try to exit technology,"Equitable opportunities for parents, Inclusion at your workplace",Acceptance of woman as capable scientists,,,,,,,,,,,,,,,,,,,,Intermediate level - 5-10 years,Disagree,Every 2 years,Yes,Yes,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Neutral / Neither agree nor disagree,Neutral / Neither agree nor disagree,I don't know.,51-60,Neutral / Neither agree nor disagree,"Spousal coverage, Dependent coverage, Comprehensive plan options spanning vision, dental, and overall healthcare",We all worked in-person.,No,No,LinkedIn,five,62ed102bee1306d8d700bd30,,,,,,mobile
LinkedIn Digital Ads,2022-08-05 14:11:26 UTC,Woman,White or Caucasian,60625 (Chicago),,60625,,Work full-time,None of the above,Post-graduate degree (Master’s degree or equivalent),No,Other,Yes,,"A year from now, I plan to stay in this role",,,,,,,"Advancement in your role, Management support, Compensation",Intermediate level - 5-10 years,Agree,Every year,Yes,Yes,Strongly Agree,Neutral / Neither agree nor disagree,Agree,Strongly Agree,Agree,Agree,A raise,No,31-40,Agree,"Having 100% of my plan covered by my employer each month, Low deductibles, Comprehensive plan options spanning vision, dental, and overall healthcare",We all work remotely.,Yes,,,,,,,,,,,,,,,,,,No,LinkedIn,five,62ed250e75a6867f630724af,,,,,,desktop
LinkedIn Digital Ads,2022-08-06 02:18:57 UTC,Woman,Asian or Pacific Islander,60090 (Wheeling),,60090,,"Unemployed, looking for work",I am a parent or caretaker of children.,"Advanced post-graduate degree (e.g., Ph.D., law degree, medical degree)",No,Software Quality Assurance Analyst,,,"A year from now, I plan to stay in this role",,,,,,,Not willing to shift technologies,Intermediate level - 5-10 years,Neutral / Neither agree nor disagree,I have not been promoted.,No,No,Strongly Disagree,Disagree,Neutral / Neither agree nor disagree,Neutral / Neither agree nor disagree,Strongly Disagree,Strongly Agree,Switching from one company to another,No,41-50,Strongly Disagree,"Having 100% of my plan covered by my employer each month, Comprehensive plan options spanning vision, dental, and overall healthcare, Coverage for emergencies",We all work remotely.,Yes,,,,,,,,,,,,,,,,,,Yes,LinkedIn,five,62edcf9187361927dd0fa335,,,,,,mobile
LinkedIn Digital Ads,2022-08-06 18:56:11 UTC,Woman,Asian or Pacific Islander,60607 (Chicago),,60607,,Work full-time,None of the above,"4-year University or College degree (Bachelor’s degree or equivalent), Post-graduate degree (Master’s degree or equivalent)",No,Data Scientist,,,"A year from now, I plan to stay in this role",,,,,,,"Advancement in your role, Compensation, Management support",Intermediate level - 5-10 years,Agree,I have not been promoted.,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Switching from one company to another,No,41-50,Strongly Agree,"Having 100% of my plan covered by my employer each month, Low Copays and prescription costs",We have a hybrid work environment e.g. a mix between in-person and remote.,No,,,,,,,,,,,,,,,,,,Yes,LinkedIn,five,62eeb94b82a1ea56d3069ced,,,,,,mobile
LinkedIn Digital Ads,2022-08-08 03:57:01 UTC,Woman,White or Caucasian,60025 (Glenview),,60025,,Work part-time,I am a parent or caretaker of children.,Post-graduate degree (Master’s degree or equivalent),No,Cybersecurity,,,"A year from now, I plan to stay in this role",,,,,,,My health,Senior-level - 20+ years,Disagree,I have not been promoted.,Yes,Yes,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,I am a volunteer because I have a disability and am not allowed to earn  too much to keep my disability benefits,I don't know.,44885,Strongly Disagree,"Coverage for people living with disabilities, Comprehensive plan options spanning vision, dental, and overall healthcare, Dependent coverage",We all work remotely.,Yes,,,,,,,,,,,,,,,,,,No,LinkedIn,five,62f0898dd0a0e049c509ff44,,,,,,mobile
LinkedIn Digital Ads,2022-08-08 12:58:50 UTC,Woman,Asian or Pacific Islander,60089 (Buffalo Grove),,60089,,Work full-time,"I am a parent or caretaker of children., I am a caretaker of adults.","4-year University or College degree (Bachelor’s degree or equivalent), Taught on the job, Self-taught, Vocational training / Certificate program",No,Senior Product Manager,,,"A year from now, I plan to stay in this role",,,,,,,"Advancement in your role, Inclusion at your workplace, Management support, Compensation, Being in Technology helps me to solve problems solve them for myself, my employer and its clients and the world around me.",Senior-level - 20+ years,Strongly Agree,Every 4 years or more,Yes,Yes,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,A raise,No,51-60,Agree,"Comprehensive plan options spanning vision, dental, and overall healthcare",We have a hybrid work environment e.g. a mix between in-person and remote.,Yes,,,,,,,,,,,,,,,,,,No,LinkedIn,five,62f1088aa35a77703805b52e,,,,,,desktop
LinkedIn Digital Ads,2022-08-08 14:08:49 UTC,Woman,White or Caucasian,60654 (Chicago),,60654,,"Unemployed, looking for work",None of the above,Post-graduate degree (Master’s degree or equivalent),No,IT Project Manager,,,I plan to exit this role in 12 months or less,,,,,,,Advancement in your role,Intermediate level - 5-10 years,Agree,I have not been promoted.,No,Yes,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Switching from one company to another,No,31-40,Agree,"Comprehensive plan options spanning vision, dental, and overall healthcare, Coverage for emergencies",We all work remotely.,Yes,,,,,,,,,,,,,,,,,,No,LinkedIn,five,62f118f1ebc69d54040cef6c,,,,,,desktop
LinkedIn Digital Ads,2022-08-08 14:35:28 UTC,Woman,White or Caucasian,60089 (Buffalo Grove),,60089,,Work full-time,None of the above,"Advanced post-graduate degree (e.g., Ph.D., law degree, medical degree)",No,Other,Yes,,I plan to exit technology in 12 months or less,"No one has been disprestful to me. I make a lot of money and receive the same raises of men. Women where I work receive mroe promotions than men too, and most upper managers are women. I want to leave technology, because the drug research ""science"" everyone is using is FAKE!!, and the industry's adherence to US Regulatory Law is FAKE!! Maybe women can see this grotesque fakeness better and it annoys them more, because they are smarter than men and have more intuition about such things.","Entire global drug industry to announce to the world that their ""science"" is fake and harmful. Upper level government regulatory workers to be replaced by law abiding citizens.",No,,,,,Senior-level - 20+ years,Agree,Every 3 years,Yes,Yes,Agree,Agree,Agree,Agree,Agree,Agree,A raise,No,51-60,Agree,Stricter adherence to a legal 40 hour work week.,We have a hybrid work environment e.g. a mix between in-person and remote.,No,,,,,,,,,,,,,,,,,,Yes,LinkedIn,five,62f11f30207eb361240908db,,,,,,desktop
LinkedIn Digital Ads,2022-08-08 15:58:16 UTC,Woman,White or Caucasian,60622 (Chicago),,60622,,Work full-time,None of the above,4-year University or College degree (Bachelor’s degree or equivalent),No,IT Project Manager,,,"A year from now, I plan to stay in this role",,,,,,,Management support,Intermediate level - 5-10 years,Disagree,I have not been promoted.,No,Yes,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Switching from one company to another,No,31-40,Disagree,"Having 100% of my plan covered by my employer each month, Comprehensive plan options spanning vision, dental, and overall healthcare, That I have insurance at all",We all work remotely.,Yes,,,,,,,,,,,,,,,,,,No,LinkedIn,five,62f1329845153c2e410470d7,,,,,,mobile
LinkedIn Digital Ads,2022-08-08 16:31:35 UTC,Woman,Black or African American,60642 (Chicago),,60642,,Work full-time,None of the above,4-year University or College degree (Bachelor’s degree or equivalent),No,Senior Visual Designer,,,I plan to exit this role in 12 months or less,,,,,,,"Advancement in your role, Inclusion at your workplace, Management support, Representation of people in my race, Representation of people in my gender",Intermediate level - 5-10 years,Disagree,I have not been promoted.,Yes,No,Disagree,Strongly Disagree,Neutral / Neither agree nor disagree,Neutral / Neither agree nor disagree,Disagree,Disagree,Switching from one company to another,No,41-50,Disagree,"Low deductibles, Diverse options for PPO plans, Low Copays and prescription costs",We have a hybrid work environment e.g. a mix between in-person and remote.,Yes,,,,,,,,,,,,,,,,,,Yes,LinkedIn,five,62f13a678bd3e92067028e3d,,,,,,desktop
LinkedIn Digital Ads,2022-08-08 19:21:12 UTC,Woman,White or Caucasian,60647 (Chicago),,60647,,Work full-time,None of the above,"4-year University or College degree (Bachelor’s degree or equivalent), Taught on the job",No,User Experience Designer,,,"A year from now, I plan to stay in this role",,,,,,,"Compensation, Representation of people in my gender, Equitable opportunities for parents, Advancement in your role, Management support, Inclusion at your workplace",Intermediate level - 5-10 years,Agree,I have not been promoted.,Yes,No,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Neutral / Neither agree nor disagree,Switching from one company to another,No,31-40,Disagree,"Comprehensive plan options spanning vision, dental, and overall healthcare, Low Copays and prescription costs, Low deductibles",We all work remotely.,Yes,,,,,,,,,,,,,,,,,,Yes,LinkedIn,five,62f16228ef547c25da0be6e0,,,,,,desktop
LinkedIn Digital Ads,2022-08-08 21:33:46 UTC,Woman,White or Caucasian,60640 (Chicago),,60640,,Work full-time,I am a caretaker of adults.,Post-graduate degree (Master’s degree or equivalent),No,Other,Yes,,"A year from now, I plan to stay in this role",,,,,,,"Advancement in your role, Inclusion at your workplace, Compensation",Mid-career - 11-20 years,Neutral / Neither agree nor disagree,Every 2 years,No,No,Neutral / Neither agree nor disagree,Agree,Neutral / Neither agree nor disagree,Agree,Agree,Disagree,Switching from one company to another,I don't know.,41-50,Disagree,"Comprehensive plan options spanning vision, dental, and overall healthcare, Diverse options for PPO plans, Low Copays and prescription costs",We have a hybrid work environment e.g. a mix between in-person and remote.,Yes,,,,,,,,,,,,,,,,,,No,LinkedIn,five,62f1813a57293f0caf021f7c,,,,,,mobile
LinkedIn Digital Ads,2022-08-08 23:01:26 UTC,Woman,Black or African American,60618 (Chicago),,60618,,Work full-time,None of the above,"4-year University or College degree (Bachelor’s degree or equivalent), Taught on the job, Self-taught, Vocational training / Certificate program",No,Other,Yes,,"A year from now, I plan to stay in this role",,,,,,,"Inclusion at your workplace, Compensation, Representation of people in my race, Representation of people in my gender",Intermediate level - 5-10 years,Disagree,I have not been promoted.,Yes,Yes,Agree,Neutral / Neither agree nor disagree,Agree,Agree,Agree,Neutral / Neither agree nor disagree,Switching from one company to another,No,31-40,Disagree,"Comprehensive plan options spanning vision, dental, and overall healthcare, Having 100% of my plan covered by my employer each month, Coverage for people living with disabilities",We all work remotely.,Yes,,,,,,,,,,,,,,,,,,No,LinkedIn,five,62f195c639011ec562092581,,,,,,desktop
LinkedIn Digital Ads,2022-08-09 05:00:46 UTC,Woman,White or Caucasian,60563 (Naperville),,60563,,Work full-time,I am a parent or caretaker of children.,Post-graduate degree (Master’s degree or equivalent),No,Other,Yes,,"A year from now, I plan to stay in this role",,,,,,,"Advancement in your role, Inclusion at your workplace, Management support, Compensation",Mid-career - 11-20 years,Strongly Agree,Every 2 years,Yes,Yes,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral / Neither agree nor disagree,A promotion,No,41-50,Strongly Agree,"Dependent coverage, Spousal coverage, Comprehensive plan options spanning vision, dental, and overall healthcare",We have a hybrid work environment e.g. a mix between in-person and remote.,Yes,,,,,,,,,,,,,,,,,,Yes,LinkedIn,five,62f1e9fe642346c36e0a3cb5,,,,,,mobile
LinkedIn Digital Ads,2022-08-09 16:11:30 UTC,Woman,White or Caucasian,60641 (Chicago),,60641,,Work full-time,None of the above,"4-year University or College degree (Bachelor’s degree or equivalent), High school or below, Post-graduate degree (Master’s degree or equivalent), Vocational training / Certificate program",No,Database Administrator,,,"A year from now, I plan to stay in this role",,,,,,,Compensation,Mid-career - 11-20 years,Strongly Disagree,Every 4 years or more,No,No,Disagree,Strongly Disagree,Agree,Neutral / Neither agree nor disagree,Strongly Disagree,Disagree,A raise,No,31-40,Strongly Disagree,"That I have insurance at all, Comprehensive plan options spanning vision, dental, and overall healthcare, Having 100% of my plan covered by my employer each month",We have a hybrid work environment e.g. a mix between in-person and remote.,Yes,,,,,,,,,,,,,,,,,,Yes,LinkedIn,five,62f287324353fe01d0034f33,,,,,,desktop
LinkedIn Digital Ads,2022-08-09 17:57:40 UTC,Woman,White or Caucasian,60611 (Chicago),,60611,,Work full-time,None of the above,2-year college degree (Associate degree),No,Graphic Designer,,,"A year from now, I plan to stay in this role",,,,,,,"Management support, Inclusion at your workplace, Compensation, Results oriented work environment, great team, great boss",Intermediate level - 5-10 years,Disagree,I have not been promoted.,No,No,Strongly Agree,Neutral / Neither agree nor disagree,Agree,Strongly Agree,Agree,Strongly Agree,A bonus,No,21-30,Agree,"Having 100% of my plan covered by my employer each month, Low deductibles, Low Copays and prescription costs",We have a hybrid work environment e.g. a mix between in-person and remote.,No,,,,,,,,,,,,,,,,,,No,LinkedIn,five,62f2a0146a6470da640b5f7c,,,,,,desktop
LinkedIn Digital Ads,2022-08-09 21:45:12 UTC,Woman,White or Caucasian,60660 (Chicago),,60660,,Work full-time,None of the above,4-year University or College degree (Bachelor’s degree or equivalent),No,Other,No,Yes,,,,,This was a natural progression (i.e. promotion),,,"Representation of people in my gender, Compensation, Management support, Advancement in your role",Senior-level - 20+ years,Strongly Agree,Every 2 years,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,A raise,No,31-40,Strongly Agree,"Spousal coverage, Comprehensive plan options spanning vision, dental, and overall healthcare, Diverse options for PPO plans",We have a hybrid work environment e.g. a mix between in-person and remote.,No,,,,,,,,,,,,,,,,,,Yes,LinkedIn,five,62f2d5686c727482cc0074fc,,,,,,desktop
LinkedIn Digital Ads,2022-08-10 13:15:21 UTC,Woman,White or Caucasian,60008 (Rolling Meadows),,60008,,Work full-time,I am a parent or caretaker of children.,4-year University or College degree (Bachelor’s degree or equivalent),No,Product Manager,,,I plan to exit this role in 12 months or less,,,,,,,Compensation,Mid-career - 11-20 years,Disagree,I have not been promoted.,No,No,Disagree,Disagree,Neutral / Neither agree nor disagree,Neutral / Neither agree nor disagree,Neutral / Neither agree nor disagree,Agree,A raise,I don't know.,41-50,Disagree,"Having 100% of my plan covered by my employer each month, Comprehensive plan options spanning vision, dental, and overall healthcare, Spousal coverage",We all work remotely.,Yes,,,,,,,,,,,,,,,,,,No,LinkedIn,five,62f3af6913065b20ad076b0c,,,,,,mobile
LinkedIn Digital Ads,2022-08-10 13:18:27 UTC,Woman,White or Caucasian,60074 (Palatine),,60074,,Work full-time,None of the above,4-year University or College degree (Bachelor’s degree or equivalent),No,IT Project Manager,,,"A year from now, I plan to stay in this role",,,,,,,Compensation,Intermediate level - 5-10 years,Strongly Disagree,Every year,Yes,Yes,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Switching from one company to another,No,41-50,Strongly Agree,"Diverse options for PPO plans, That I have insurance at all, Coverage for emergencies",I work remotely but others in NJ work a couple days a month at office,,,,,,,,,,,,,,,,,,,No,LinkedIn,five,62f3b0236b8d54adef018c45,,,,,,desktop
LinkedIn Digital Ads,2022-08-10 14:12:30 UTC,Woman,Multiracial or Biracial,60194 (Schaumburg),,60194,,"Unemployed, looking for work",None of the above,"4-year University or College degree (Bachelor’s degree or equivalent), Academy or Bootcamp, Taught on the job, Self-taught",No,Other,Yes,,"A year from now, I plan to stay in this role",,,,,,,"Advancement in your role, Inclusion at your workplace, Management support, Compensation, Environment is collaborative instead of competetive",Entry-level - 1-3 years,Agree,I have not been promoted.,No,Yes,Agree,Disagree,Agree,Agree,Agree,Neutral / Neither agree nor disagree,Switching from one company to another,No,41-50,Agree,"Comprehensive plan options spanning vision, dental, and overall healthcare, Low Copays and prescription costs, Having 100% of my plan covered by my employer each month",We all work remotely.,Depends if they offered relocation.,,,,,,,,,,,,,,,,,,No,LinkedIn,five,62f3bccec4968f8c200f3602,,,,,,mobile
LinkedIn Digital Ads,2022-08-10 14:19:26 UTC,Woman,Hispanic or Latino,60185 (West Chicago),,60185,,Work full-time,None of the above,"Advanced post-graduate degree (e.g., Ph.D., law degree, medical degree), Post-graduate degree (Master’s degree or equivalent), 4-year University or College degree (Bachelor’s degree or equivalent), High school or below",No,Computer Hardware Engineer,,,"A year from now, I plan to stay in this role",,,,,,,"Advancement in your role, Compensation",Entry-level - 1-3 years,Agree,I have not been promoted.,Yes,No,Agree,Disagree,Neutral / Neither agree nor disagree,Agree,Agree,Disagree,A raise,No,31-40,Strongly Disagree,"Having 100% of my plan covered by my employer each month, Comprehensive plan options spanning vision, dental, and overall healthcare, Spousal coverage",We have a hybrid work environment e.g. a mix between in-person and remote.,Yes,,,,,,,,,,,,,,,,,,No,LinkedIn,five,62f3be6eff6d9dc2e60d520a,,,,,,desktop
